iter	Logloss
0	0.6880872345
1	0.6829392874
2	0.6779881249
3	0.6729641646
4	0.6680928652
5	0.6636851735
6	0.6592018096
7	0.6550762373
8	0.650927657
9	0.6468087347
10	0.6429659996
11	0.6390512476
12	0.6351624071
13	0.6315793201
14	0.6282180326
15	0.6247601779
16	0.6214181734
17	0.6181768433
18	0.615142629
19	0.6119971045
20	0.6091342437
21	0.6062735286
22	0.603457616
23	0.6008791412
24	0.5982688646
25	0.5954357646
26	0.5926519677
27	0.5904133807
28	0.5880374838
29	0.5857537701
30	0.5836072297
31	0.5815130152
32	0.5793976362
33	0.5774598285
34	0.5756238192
35	0.5735848513
36	0.571869525
37	0.5702423249
38	0.5685237095
39	0.5668719166
40	0.5650984231
41	0.5631469498
42	0.5611533517
43	0.5594886406
44	0.5580762647
45	0.5567063222
46	0.554773147
47	0.5530813971
48	0.5516287639
49	0.5504220743
50	0.549280326
51	0.5477024844
52	0.5463392291
53	0.5452257613
54	0.5437799645
55	0.5423118632
56	0.541270215
57	0.5402614641
58	0.5388608772
59	0.537839931
60	0.5366192163
61	0.5357487666
62	0.5347126601
63	0.5335733271
64	0.5324325447
65	0.5315950901
66	0.5304035783
67	0.5295468649
68	0.5285972889
69	0.5278955636
70	0.5268247494
71	0.5258680622
72	0.5252307631
73	0.5242083755
74	0.523444551
75	0.5228280313
76	0.5219965691
77	0.5212160665
78	0.5204548788
79	0.5198520439
80	0.5191722985
81	0.5182589851
82	0.5175866814
83	0.5171110696
84	0.5163149379
85	0.515822676
86	0.5152877959
87	0.5148189191
88	0.5143335534
89	0.5138168456
90	0.5133942429
91	0.5128255457
92	0.5121855439
93	0.5118036616
94	0.511227056
95	0.5107984856
96	0.5102426022
97	0.5098407868
98	0.5094448933
99	0.5091118258
100	0.5089111069
101	0.5084961213
102	0.5081470344
103	0.5078104309
104	0.5074749304
105	0.5071017173
106	0.5065596209
107	0.5062061709
108	0.5059009691
109	0.5055831108
110	0.5053012817
111	0.5049805344
112	0.5046751482
113	0.5043998292
114	0.5041152612
115	0.503606954
116	0.5032348093
117	0.5029384629
118	0.5026575478
119	0.5023585516
120	0.5019938309
121	0.501581771
122	0.5011651559
123	0.5006303259
124	0.5003801893
125	0.5000614344
126	0.4997807854
127	0.4995481612
128	0.4992954098
129	0.4989057266
130	0.4986463638
131	0.4983715966
132	0.4981569206
133	0.4978882928
134	0.4977118829
135	0.4974296535
136	0.4970940419
137	0.496818723
138	0.4965869371
139	0.4964130869
140	0.4962096193
141	0.4959826883
142	0.4957094221
143	0.4954344445
